revision,effective_date,policy_effective_date,policy_event,needs_review
rev_22,2025-09-03,2025-09-08,EO 14346 Annex II metals/gold amendment (eff. Sep 8),NA
rev_23,2025-09-12,2025-09-16,Japan floor (15%; implementation eff. Sep 16),NA
rev_24,2025-09-19,2025-09-25,EU exemption entries (9903.02.74-77; legally retroactive to Sep 1; text published Sep 25 - retro window not modeled),NA
rev_25,2025-09-26,2025-10-14,232 wood/timber (PP 10976; 9903.76 eff. Oct 14),NA
rev_26,2025-10-06,2025-11-01,MHD vehicles/buses 232 (eff. Nov 1); copper 232; 232 auto entries,NA
rev_27,2025-10-15,2025-11-09,301 cranes (100%; eff. Nov 9); China fentanyl: 20% -> 10% (eff. Nov 10),NA
rev_28,2025-10-22,2025-11-10,China-deal follow-through (eff. Nov 10),NA
rev_29,2025-10-31,2025-11-13,Agricultural Annex II expansion (eff. Nov 13); note 2(v)(iii) restructured into (iii)(a)/(b),NA
rev_30,2025-11-05,2025-11-21,Nov-13 EO follow-through corrections (published Nov 21),NA
rev_31,2025-11-12,2025-11-30,NA,NA
rev_32,2025-11-15,2025-12-05,S. Korea floor (15%) and 232 auto S. Korea; legally retroactive to Nov 14; text published Dec 5 - retro window not modeled (see todo),NA
2026_basic,2026-01-01,NA,Switzerland/Liechtenstein floor (15%),NA
2026_rev_1,2026-01-16,2026-01-15,Semiconductor tariffs (25%; 9903.79; eff. Jan 15),NA
2026_rev_2,2026-01-30,2026-02-01,NA,NA
2026_rev_3,2026-02-12,2026-02-07,Argentina beef quota (9903.54; eff. Feb 7),NA
2026_rev_4,2026-02-24,NA,IEEPA invalidated (SCOTUS); Section 122 Phase 3 (10% blanket; 9903.03),NA
2026_rev_5,2026-04-06,NA,"232 annex restructuring (4-tier: 50/25/0/15% floor; 9903.82); corrected by HTS rev_7 published 2026-04-29 (Note 16(a)/(e) amendments + 9903.82.01 zero-metal-content carve-out, all retroactive to April 6)",NA
2026_rev_6,2026-04-23,NA,"232 USMCA vehicle-parts carve-out (9903.82.18 steel +25%, 9903.82.19 aluminum +25%; Commerce-authorized limited quantities; Proc. 10984 / 91 FR 21790)",NA
2026_rev_7,2026-04-29,NA,232 annex Note 16(a)/(e) corrections + 9903.82.01 zero-metal-content carve-out; corrections retroactive to April 6 (already applied to rev_5 source files); no functional rate-engine impact vs rev_6 (carve-out not currently modeled),NA
2026_rev_9,2026-05-28,2026-05-01,"Taiwan added to 15% floor structure (legally retroactive to May 1 per change record; dated May 1 here): 232 auto parts (9903.94.66-.69), wood products (9903.76.24, 15%), civil-aircraft components exempt (9903.96.03). 2026_rev_8 (published May 22) is EXCLUDED from the series - editorial-only vs rev_7 (description wording on 9819.11.12, AGOA apparel), zero rate impact; keeping it would invert interval ordering against the retro-dated rev_9.",NA
2026_rev_10,2026-06-08,NA,"232 metals-annex expansion (PP 11032; eff Jun 8): new annex subdivisions 16(c)(xi)/16(j)/16(k), rate lines 9903.82.20-.26, modified copper/alu exemption headings (9903.82.06/.09/.15/.16) + notes 33/38/39(a)(5)/2(aa)(v)(1). PP 11032 effective on publication, no retro window.",annex parser: extend SUBDIVISION_MAP for (c)(xi) + date-stamp new products at 2026-06-08 not regime-start
2026_rev_11,2026-07-01,NA,"Annual July 1 statistical (484(f)) reclassification update (analogue of 2025 rev_16); the only non-484(f) change is a ch99 US note 2(aa)(v)(1) technical correction (PP 11021, retroactive to Apr 6 2026 - already modeled). No new tariff lines, no HTS8 heading created/removed, no rate impact.","484(f) churn: +179 established / -86 deleted HTS10 suffixes, 0 new/removed HTS8. Check HTS10-keyed lists (ieepa_exempt 33 deleted refs, metal_content 72 new suffixes) + GTAP weights concordance (176/179 new codes absent)."
2026_rev_12,2026-07-21,NA,"Section 301 Brazil final action codified (USTR FR Doc 2026-14542): 9 new ch99 headings 9903.05.01-.09 (9903.05.01 = +25% on products of Brazil per U.S. note 50; .02 in-transit, .03/.04 unconditional exemptions, .05 civil-aircraft, .06 pharma, .07 §232-overlap exclusion, .08/.09 donations/informational). HTS revision effective 2026-07-21; the duty is legally effective 2026-07-22, turned on via the bnd_2026-07-22 boundary mint (owned by rev_12). policy_effective_date left NA on purpose: dating this row 07-22 would make the 07-22 mint edge-coincident and drop it (discover_boundaries owner_of), and Brazil is hollow on rev_12's own 07-21 snapshot anyway. Sole diff vs rev_11: these 9 added headings (0 modified, 0 removed).","Rate-source only: the +25% now reads off HTS 9903.05.01 via extract_section301_brazil_rates() (config rate demoted to fallback). Numerically neutral vs the pre-rev_12 config-fed series — no product line footnote-references 9903.05, so it never attaches through the generic ch99 path. Note-50 product exemption lists stay FR-annex side-data (not in the JSON export)."
2026_rev_13,2026-07-28,2026-07-24,"Section 301 forced-labor final action codified (USTR Notice of Action, effective 2026-07-24; U.S. note 52): 101 new ch99 headings — 64 country charging headings 9903.05.20-.84 (40 at +12.5%, 19 at +10%, EU bifurcated into 9903.05.38 no-additional / .39 flat 10% to implement the net-of-MFN cap by heading split rather than arithmetic), 15 exemption headings .85-.99 (in-transit before 2026-07-24, note 52(b)/(c), civil aircraft, pharma use, full 232 carve-out, donations, informational, CA 52(g) / MX 52(h) / CAFTA-DR textiles 52(i) / UK / EU / CH / MY), and 21 per-country product carve-outs 9903.06.01-.21. Zero HTS8/HTS10 churn, zero general-rate changes on ch1-97; the 25 special-field diffs are whitespace normalisation only. policy_effective_date 2026-07-24: the duty's legal turn-on. Dating the row there makes the boundary_overrides '2026-07-24' mint edge-coincident, so discover_boundaries drops it (owner_of returns NA on edges) and rev_13's own snapshot owns the date — covering the four-day retroactive window (published 07-28, effective 07-24) from the codified schedule itself rather than a config-fed mint. The s122 sunset that shared the mint is unaffected: it is date-gated (expiry 07-23) and rev_13@07-24 enforces it identically. Reviewed in docs/internal/hts_2026_rev13_review.md, which reconciled all 64 charging headings against the config tiers with 0 mismatches.","Rate-source: the forced-labor rates now read off HTS headings 9903.05.20-.84 via extract_section301_fl_rates() (the Brazil/§122 pattern; config tiers demoted to fallback for pre-rev_13 archives). Numerically neutral: standing test tests/test_s301fl_hts_rates.R asserts HTS-extracted roster/rates/tiers == config tiers exactly (86 economies)."
2026_rev_15,2026-08-03,NA,"HTS 2026 revision 15. Revision 14 JSON is unavailable; its Chapter 99 PDF and change record are preserved separately, and the existing bnd_2026-07-31 synthetic partition represents the July 31 policy state. Revision 15 cumulatively carries revision 14's 10 pharmaceutical Section 232 headings and corrects 9903.04.63 (United Kingdom) from +10% to +0%, legally effective July 31. No separate policy_effective_date: the UK correction is modeled from config and the pharmaceutical duty remains date-gated to September 29.","Archive discontinuity: July 31-August 2 uses revision 13 schedule data plus separately modeled July 31 policy changes; no reconstructed revision 14 JSON is presented as official."
